symbol,vintage,p,q,distribution,valid,order,n_train,loglikelihood,n_parameters,BIC,AIC,persistence,selected,evidence
QQQ,2001-05,1,1,normal,True,0,540,-1355.3006003719179,3,2729.4759081625107,2716.6012007438358,0.9889086380438741,True,EXPOSED_HISTORY
QQQ,2001-05,1,1,t,True,1,540,-1355.2683541619235,4,2735.7029848820803,2718.536708323847,0.9890922871693031,False,EXPOSED_HISTORY
QQQ,2001-05,1,2,normal,True,2,540,-1355.3006003726246,4,2735.7674773034823,2718.601200745249,0.9889080749059215,False,EXPOSED_HISTORY
QQQ,2001-05,1,2,t,True,3,540,-1355.2683548528205,5,2741.9945554034325,2720.536709705641,0.9890910929814368,False,EXPOSED_HISTORY
QQQ,2001-05,2,1,normal,True,4,540,-1355.2632231731222,4,2735.6927229044777,2718.5264463462445,0.9880046317505549,False,EXPOSED_HISTORY
QQQ,2001-05,2,1,t,True,5,540,-1355.2203041432356,5,2741.8984539842627,2720.440608286471,0.9880404250787448,False,EXPOSED_HISTORY
QQQ,2001-06,1,1,normal,True,0,562,-1412.7105046993647,3,2844.4155149484104,2831.4210093987294,0.9863156074528314,True,EXPOSED_HISTORY
QQQ,2001-06,1,1,t,True,1,562,-1412.688342163052,4,2850.702691725679,2833.376684326104,0.9865285897362409,False,EXPOSED_HISTORY
QQQ,2001-06,1,2,normal,True,2,562,-1412.710504697217,4,2850.7470167940087,2833.421009394434,0.986315616960533,False,EXPOSED_HISTORY
QQQ,2001-06,1,2,t,True,3,562,-1412.691094889306,5,2857.0396990280806,2835.382189778612,0.9865149722036679,False,EXPOSED_HISTORY
QQQ,2001-06,2,1,normal,True,4,562,-1412.564387285073,4,2850.454781969721,2833.128774570146,0.9843559676333015,False,EXPOSED_HISTORY
QQQ,2001-06,2,1,t,True,5,562,-1412.5206632122472,5,2856.698835673963,2835.0413264244944,0.9842856318872951,False,EXPOSED_HISTORY
QQQ,2001-07,1,1,normal,True,0,583,-1460.4480580066163,3,2940.000677572284,2926.8961160132326,0.9830717513058018,True,EXPOSED_HISTORY
QQQ,2001-07,1,1,t,True,1,583,-1460.4141039671285,4,2946.300956679659,2928.828207934257,0.9831688365466771,False,EXPOSED_HISTORY
QQQ,2001-07,1,2,normal,True,2,583,-1460.448058002548,4,2946.368864750498,2928.896116005096,0.9830722294656549,False,EXPOSED_HISTORY
QQQ,2001-07,1,2,t,True,3,583,-1460.4192826515332,5,2952.679501234819,2930.8385653030664,0.9832319765296726,False,EXPOSED_HISTORY
QQQ,2001-07,2,1,normal,True,4,583,-1460.275801821777,4,2946.024352388956,2928.551603643554,0.980826547443939,False,EXPOSED_HISTORY
QQQ,2001-07,2,1,t,True,5,583,-1460.2149007735288,5,2952.27073747881,2930.4298015470577,0.9806657686784832,False,EXPOSED_HISTORY
QQQ,2001-08,1,1,normal,True,0,604,-1511.5112368075092,3,3042.233196208823,3029.0224736150185,0.9819811304369387,True,EXPOSED_HISTORY
QQQ,2001-08,1,1,t,True,1,604,-1511.4474107360686,4,3048.5091182638766,3030.894821472137,0.9822352394953318,False,EXPOSED_HISTORY
QQQ,2001-08,1,2,normal,True,2,604,-1511.5112368074228,4,3048.636770406585,3031.0224736148457,0.9819813508885955,False,EXPOSED_HISTORY
QQQ,2001-08,1,2,t,True,3,604,-1511.449508348468,5,3054.91688768661,3032.899016696936,0.9822946100166767,False,EXPOSED_HISTORY
QQQ,2001-08,2,1,normal,True,4,604,-1511.3335509590502,4,3048.28139870984,3030.6671019181003,0.97889930862745,False,EXPOSED_HISTORY
QQQ,2001-08,2,1,t,True,5,604,-1511.2375346767246,5,3054.4929403431233,3032.4750693534493,0.9787611029034915,False,EXPOSED_HISTORY
QQQ,2001-09,1,1,normal,True,0,627,-1567.347871158579,3,3154.0185819390567,3140.695742317158,0.9820166206918608,True,EXPOSED_HISTORY
QQQ,2001-09,1,1,t,True,1,627,-1567.3342454933156,4,3160.432277149163,3142.6684909866312,0.9822630993238275,False,EXPOSED_HISTORY
QQQ,2001-09,1,2,normal,True,2,627,-1567.3478711574135,4,3160.4595284773586,3142.695742314827,0.9820166162381984,False,EXPOSED_HISTORY
QQQ,2001-09,1,2,t,True,3,627,-1567.3271136947926,5,3166.85896009275,3144.6542273895852,0.9822015740681249,False,EXPOSED_HISTORY
QQQ,2001-09,2,1,normal,True,4,627,-1566.8656909452127,4,3159.495168052957,3141.7313818904254,0.9772834649810223,False,EXPOSED_HISTORY
QQQ,2001-09,2,1,t,True,5,627,-1566.802992272787,5,3165.8107172487385,3143.605984545574,0.9770581931352944,False,EXPOSED_HISTORY
QQQ,2001-10,1,1,normal,True,0,642,-1608.7821119715372,3,3236.9579888541443,3223.5642239430745,0.9830453084182794,True,EXPOSED_HISTORY
QQQ,2001-10,1,1,t,True,1,642,-1608.5456101156951,4,3242.94957344615,3225.0912202313903,0.9834458486072934,False,EXPOSED_HISTORY
