cash_mode,offset,cost_bps,period,rule,cycles,high_positive_n,high_negative_n,high_positive_participation,rebound_participation,rebound_n,high_missed_upside,high_downside_avoided,missed_upside_per_downside_avoided,all_positive_participation,all_negative_participation
PROXY,0,0,ALL,VOL,1254,123,93,0.4511433336876751,0.44231972683183474,42,2.108437158502654,1.787490398269009,1.179551599574715,0.7533038503572732,0.736555359069741
PROXY,0,0,DOTCOM,VOL,63,18,14,0.4103213544518335,0.4465236986757036,8,0.272679311344177,0.22414101949699783,1.216552471993326,0.5116574783247807,0.6193070628775276
PROXY,0,0,GFC,VOL,150,31,28,0.37099820388926763,0.3688502987809084,12,0.6564571621077939,0.7255974676679147,0.904712587018338,0.5525456537691525,0.5398464395455543
PROXY,0,0,2011,VOL,50,13,8,0.4575466632622149,0.46169132976836147,4,0.21574013881108817,0.16237345408695147,1.3286663144799438,0.5953359934828334,0.6390928250873352
PROXY,0,0,2015_2016,VOL,99,5,6,0.5364695399929336,,0,0.05141783295646252,0.055977734150190084,0.9185408044296112,0.8367173207382639,0.8894162699473824
PROXY,0,0,2018Q4,VOL,12,3,1,0.5151368184984354,0.4998068631334775,1,0.02777749167641614,0.028908930484617724,0.9608619624028079,0.5211392546828297,0.7688606872713996
PROXY,0,0,COVID,VOL,17,8,7,0.31423549409961715,0.3706144049426552,4,0.2136042711623509,0.23086251359701554,0.9252445008686427,0.31563365274191624,0.32032966014435027
PROXY,0,0,2022,VOL,49,15,15,0.5347884990623567,0.5128155124294029,6,0.24021958714433714,0.22263310079500653,1.0789931339343994,0.5742736284743014,0.6405667039224712
PROXY,0,0,2023_PLUS,VOL,183,8,3,0.5355959011490549,0.4660661136510085,4,0.12253904911011937,0.012754627696009059,9.607418737001787,0.8535767614972296,0.9048179067560687
PROXY,0,0,2024_PLUS,VOL,133,6,3,0.5181711419025636,0.4660661136510085,4,0.10032524402904647,0.012754627696009059,7.865791649915299,0.8353849478596611,0.8951439411769926
PROXY,0,0,EX_MAJOR_SHOCKS,VOL,1032,67,43,0.49201437459964686,0.4729367860412537,20,0.9763927163206768,0.6083973162090722,1.6048603277946498,0.8218675207617636,0.8332773554869216
PROXY,0,0,ALL,CORE_VOL,1254,123,93,0.7255716668438378,0.7211598634159173,42,1.054218579251327,0.8937451991345045,1.179551599574715,0.8766519251786367,0.8682776795348703
PROXY,0,0,DOTCOM,CORE_VOL,63,18,14,0.7051606772259168,0.7232618493378519,8,0.1363396556720885,0.11207050974849893,1.2165524719933258,0.7558287391623905,0.8096535314387636
PROXY,0,0,GFC,CORE_VOL,150,31,28,0.6854991019446339,0.6844251493904542,12,0.32822858105389696,0.3627987338339573,0.9047125870183381,0.7762728268845761,0.7699232197727771
PROXY,0,0,2011,CORE_VOL,50,13,8,0.7287733316311074,0.7308456648841807,4,0.10787006940554408,0.08118672704347574,1.3286663144799438,0.7976679967414166,0.8195464125436676
PROXY,0,0,2015_2016,CORE_VOL,99,5,6,0.7682347699964668,,0,0.02570891647823126,0.027988867075095042,0.9185408044296112,0.9183586603691319,0.9447081349736912
PROXY,0,0,2018Q4,CORE_VOL,12,3,1,0.7575684092492176,0.7499034315667388,1,0.013888745838208075,0.014454465242308862,0.9608619624028082,0.7605696273414148,0.8844303436356997
PROXY,0,0,COVID,CORE_VOL,17,8,7,0.6571177470498085,0.6853072024713275,4,0.10680213558117545,0.11543125679850777,0.9252445008686427,0.6578168263709581,0.6601648300721751
PROXY,0,0,2022,CORE_VOL,49,15,15,0.7673942495311784,0.7564077562147014,6,0.12010979357216858,0.1113165503975033,1.0789931339343992,0.7871368142371508,0.8202833519612357
PROXY,0,0,2023_PLUS,CORE_VOL,183,8,3,0.7677979505745274,0.7330330568255042,4,0.061269524555059685,0.006377313848004529,9.607418737001787,0.9267883807486148,0.9524089533780342
PROXY,0,0,2024_PLUS,CORE_VOL,133,6,3,0.7590855709512818,0.7330330568255042,4,0.050162622014523234,0.006377313848004529,7.865791649915299,0.9176924739298306,0.9475719705884964
PROXY,0,0,EX_MAJOR_SHOCKS,CORE_VOL,1032,67,43,0.7460071872998234,0.7364683930206268,20,0.4881963581603384,0.3041986581045361,1.6048603277946498,0.910933760380882,0.9166386777434608
PROXY,0,1,ALL,VOL,1254,123,93,0.4511433336876752,0.44231972683183474,42,2.108437158502654,1.787490398269009,1.179551599574715,0.7533038503572731,0.736555359069741
PROXY,0,1,DOTCOM,VOL,63,18,14,0.4103213544518335,0.4465236986757036,8,0.272679311344177,0.22414101949699786,1.2165524719933258,0.5116574783247806,0.6193070628775275
PROXY,0,1,GFC,VOL,150,31,28,0.37099820388926763,0.3688502987809085,12,0.6564571621077939,0.7255974676679147,0.904712587018338,0.5525456537691527,0.5398464395455544
PROXY,0,1,2011,VOL,50,13,8,0.4575466632622149,0.46169132976836136,4,0.21574013881108817,0.16237345408695147,1.3286663144799438,0.5953359934828334,0.6390928250873352
PROXY,0,1,2015_2016,VOL,99,5,6,0.5364695399929336,,0,0.051417832956462524,0.05597773415019007,0.9185408044296115,0.8367173207382639,0.8894162699473824
PROXY,0,1,2018Q4,VOL,12,3,1,0.5151368184984353,0.4998068631334775,1,0.02777749167641615,0.028908930484617724,0.9608619624028082,0.5211392546828296,0.7688606872713998
PROXY,0,1,COVID,VOL,17,8,7,0.31423549409961715,0.3706144049426552,4,0.2136042711623509,0.23086251359701557,0.9252445008686426,0.31563365274191624,0.32032966014435027
PROXY,0,1,2022,VOL,49,15,15,0.5347884990623567,0.5128155124294029,6,0.24021958714433717,0.22263310079500653,1.0789931339343997,0.5742736284743014,0.6405667039224712
PROXY,0,1,2023_PLUS,VOL,183,8,3,0.5355959011490549,0.4660661136510085,4,0.12253904911011938,0.012754627696009057,9.60741873700179,0.8535767614972296,0.9048179067560687
PROXY,0,1,2024_PLUS,VOL,133,6,3,0.5181711419025636,0.4660661136510085,4,0.10032524402904647,0.012754627696009059,7.865791649915299,0.8353849478596612,0.8951439411769926
PROXY,0,1,EX_MAJOR_SHOCKS,VOL,1032,67,43,0.4920143745996469,0.4729367860412538,20,0.9763927163206768,0.6083973162090722,1.6048603277946498,0.8218675207617637,0.8332773554869216
PROXY,0,1,ALL,CORE_VOL,1254,123,93,0.7255716668438378,0.7211598634159173,42,1.054218579251327,0.8937451991345045,1.179551599574715,0.8766519251786367,0.8682776795348703
PROXY,0,1,DOTCOM,CORE_VOL,63,18,14,0.7051606772259167,0.7232618493378519,8,0.1363396556720885,0.11207050974849891,1.216552471993326,0.7558287391623902,0.8096535314387636
PROXY,0,1,GFC,CORE_VOL,150,31,28,0.6854991019446339,0.6844251493904541,12,0.32822858105389685,0.36279873383395733,0.9047125870183377,0.776272826884576,0.7699232197727771
PROXY,0,1,2011,CORE_VOL,50,13,8,0.7287733316311072,0.7308456648841809,4,0.10787006940554411,0.08118672704347574,1.328666314479944,0.7976679967414165,0.8195464125436674
PROXY,0,1,2015_2016,CORE_VOL,99,5,6,0.7682347699964668,,0,0.02570891647823126,0.027988867075095045,0.9185408044296111,0.9183586603691319,0.9447081349736912
PROXY,0,1,2018Q4,CORE_VOL,12,3,1,0.7575684092492176,0.7499034315667389,1,0.013888745838208073,0.014454465242308855,0.9608619624028085,0.7605696273414148,0.8844303436356997
PROXY,0,1,COVID,CORE_VOL,17,8,7,0.6571177470498086,0.6853072024713277,4,0.10680213558117543,0.11543125679850777,0.9252445008686426,0.6578168263709582,0.6601648300721752
PROXY,0,1,2022,CORE_VOL,49,15,15,0.7673942495311786,0.7564077562147014,6,0.12010979357216856,0.1113165503975033,1.078993133934399,0.7871368142371508,0.8202833519612357
PROXY,0,1,2023_PLUS,CORE_VOL,183,8,3,0.7677979505745274,0.7330330568255042,4,0.06126952455505968,0.006377313848004529,9.607418737001787,0.9267883807486148,0.9524089533780344
PROXY,0,1,2024_PLUS,CORE_VOL,133,6,3,0.7590855709512818,0.7330330568255042,4,0.050162622014523234,0.006377313848004529,7.865791649915299,0.9176924739298306,0.9475719705884962
PROXY,0,1,EX_MAJOR_SHOCKS,CORE_VOL,1032,67,43,0.7460071872998234,0.7364683930206268,20,0.4881963581603384,0.3041986581045361,1.6048603277946498,0.910933760380882,0.9166386777434608
PROXY,0,3,ALL,VOL,1254,123,93,0.4511433336876751,0.44231972683183474,42,2.108437158502654,1.787490398269009,1.179551599574715,0.7533038503572734,0.736555359069741
PROXY,0,3,DOTCOM,VOL,63,18,14,0.4103213544518335,0.4465236986757036,8,0.272679311344177,0.22414101949699783,1.216552471993326,0.5116574783247807,0.6193070628775275
PROXY,0,3,GFC,VOL,150,31,28,0.3709982038892677,0.3688502987809085,12,0.6564571621077939,0.7255974676679147,0.904712587018338,0.5525456537691525,0.5398464395455543
PROXY,0,3,2011,VOL,50,13,8,0.4575466632622149,0.46169132976836147,4,0.21574013881108817,0.16237345408695147,1.3286663144799438,0.5953359934828333,0.6390928250873351
PROXY,0,3,2015_2016,VOL,99,5,6,0.5364695399929336,,0,0.05141783295646252,0.055977734150190084,0.9185408044296112,0.8367173207382637,0.8894162699473824
PROXY,0,3,2018Q4,VOL,12,3,1,0.5151368184984355,0.4998068631334776,1,0.02777749167641614,0.028908930484617724,0.9608619624028079,0.5211392546828298,0.7688606872713998
PROXY,0,3,COVID,VOL,17,8,7,0.3142354940996172,0.3706144049426552,4,0.21360427116235087,0.23086251359701557,0.9252445008686425,0.31563365274191624,0.32032966014435027
PROXY,0,3,2022,VOL,49,15,15,0.5347884990623568,0.5128155124294028,6,0.24021958714433714,0.22263310079500653,1.0789931339343994,0.5742736284743014,0.6405667039224712
PROXY,0,3,2023_PLUS,VOL,183,8,3,0.5355959011490549,0.4660661136510086,4,0.12253904911011937,0.012754627696009059,9.607418737001787,0.8535767614972294,0.9048179067560687
PROXY,0,3,2024_PLUS,VOL,133,6,3,0.5181711419025637,0.4660661136510086,4,0.10032524402904647,0.012754627696009059,7.865791649915299,0.8353849478596611,0.8951439411769926
PROXY,0,3,EX_MAJOR_SHOCKS,VOL,1032,67,43,0.4920143745996469,0.47293678604125383,20,0.9763927163206767,0.6083973162090721,1.6048603277946498,0.8218675207617637,0.8332773554869216
PROXY,0,3,ALL,CORE_VOL,1254,123,93,0.7255716668438378,0.7211598634159173,42,1.054218579251327,0.8937451991345045,1.179551599574715,0.8766519251786365,0.8682776795348703
PROXY,0,3,DOTCOM,CORE_VOL,63,18,14,0.7051606772259167,0.7232618493378515,8,0.1363396556720885,0.11207050974849893,1.2165524719933258,0.7558287391623904,0.8096535314387636
PROXY,0,3,GFC,CORE_VOL,150,31,28,0.6854991019446339,0.6844251493904542,12,0.328228581053897,0.3627987338339573,0.9047125870183382,0.7762728268845761,0.7699232197727771
PROXY,0,3,2011,CORE_VOL,50,13,8,0.7287733316311074,0.7308456648841807,4,0.10787006940554406,0.08118672704347574,1.3286663144799433,0.7976679967414166,0.8195464125436676
PROXY,0,3,2015_2016,CORE_VOL,99,5,6,0.7682347699964668,,0,0.025708916478231265,0.027988867075095035,0.9185408044296116,0.9183586603691319,0.9447081349736912
PROXY,0,3,2018Q4,CORE_VOL,12,3,1,0.7575684092492178,0.7499034315667388,1,0.013888745838208068,0.014454465242308848,0.9608619624028086,0.7605696273414149,0.8844303436356998
PROXY,0,3,COVID,CORE_VOL,17,8,7,0.6571177470498085,0.6853072024713275,4,0.10680213558117546,0.11543125679850776,0.925244500868643,0.6578168263709581,0.6601648300721752
PROXY,0,3,2022,CORE_VOL,49,15,15,0.7673942495311784,0.7564077562147014,6,0.12010979357216856,0.1113165503975033,1.078993133934399,0.7871368142371508,0.8202833519612355
PROXY,0,3,2023_PLUS,CORE_VOL,183,8,3,0.7677979505745274,0.7330330568255042,4,0.06126952455505967,0.006377313848004527,9.607418737001789,0.9267883807486148,0.9524089533780342
PROXY,0,3,2024_PLUS,CORE_VOL,133,6,3,0.7590855709512819,0.7330330568255042,4,0.05016262201452322,0.006377313848004527,7.8657916499153,0.9176924739298306,0.9475719705884962
PROXY,0,3,EX_MAJOR_SHOCKS,CORE_VOL,1032,67,43,0.7460071872998234,0.7364683930206268,20,0.48819635816033835,0.30419865810453606,1.6048603277946498,0.910933760380882,0.9166386777434608
PROXY,1,0,ALL,VOL,1254,125,97,0.4480862050453742,0.4789400778361686,47,2.027967908481454,1.6988406139575507,1.193736417542539,0.7548384624675498,0.7395153900202377
PROXY,1,0,DOTCOM,VOL,63,16,15,0.4408353649315819,0.44841201281812026,10,0.26030868889612824,0.20802969188002185,1.2513054580990177,0.527468919514242,0.6419204037930446
PROXY,1,0,GFC,VOL,150,29,34,0.38637467932971004,0.5036766675775128,10,0.62319635870249,0.8031874227149105,0.775904030713006,0.5606329698305368,0.5233690276759426
PROXY,1,0,2011,VOL,50,11,8,0.4420747434347351,0.5532945154926547,3,0.1935313733520589,0.11830448726550583,1.635875171139743,0.6038809414412573,0.678791629771324
PROXY,1,0,2015_2016,VOL,100,9,3,0.5443083639215008,0.5974885321845138,3,0.07009278827188763,0.04404822976031644,1.59127367100312,0.831189191945134,0.8793902254605469
PROXY,1,0,2018Q4,VOL,12,3,2,0.5536488801411709,0.5559336427148421,2,0.02967631328815923,0.03251226238355239,0.9127729389626285,0.5536488801411709,0.7318961358400331
PROXY,1,0,COVID,VOL,18,10,6,0.3516874835464219,0.3274433527071422,3,0.2450816848328404,0.22396354742880356,1.094292743825868,0.3516874835464219,0.46622034672969587
PROXY,1,0,2022,VOL,49,16,16,0.5143788550268138,0.48364384279006634,8,0.18686684029239714,0.1375113656470532,1.3589192385160607,0.5592389033126155,0.6859653740981192
PROXY,1,0,2023_PLUS,VOL,183,10,3,0.48112353360116883,0.45874860302397946,1,0.19880344048609022,0.034970420048218195,5.684902846805228,0.8268032759362369,0.864636384497149
PROXY,1,0,2024_PLUS,VOL,133,9,2,0.46774721931436586,0.45874860302397946,1,0.1865144793535064,0.033567977352436655,5.556321651294476,0.802319785711811,0.8521987131694764
PROXY,1,0,EX_MAJOR_SHOCKS,VOL,1031,69,41,0.48564185270411214,0.495758558729195,25,0.9580707736082741,0.5341782781667834,1.7935412441258818,0.8211697754111539,0.8336895351968387
PROXY,1,0,ALL,CORE_VOL,1254,125,97,0.7240431025226871,0.7394700389180842,47,1.013983954240727,0.8494203069787754,1.193736417542539,0.877419231233775,0.8697576950101188
PROXY,1,0,DOTCOM,CORE_VOL,63,16,15,0.7204176824657911,0.7242060064090602,10,0.13015434444806412,0.10401484594001092,1.2513054580990177,0.763734459757121,0.8209602018965224
PROXY,1,0,GFC,CORE_VOL,150,29,34,0.693187339664855,0.7518383337887564,10,0.31159817935124506,0.40159371135745525,0.7759040307130061,0.7803164849152686,0.7616845138379716
PROXY,1,0,2011,CORE_VOL,50,11,8,0.7210373717173675,0.7766472577463273,3,0.09676568667602947,0.05915224363275293,1.635875171139743,0.8019404707206286,0.8393958148856621
PROXY,1,0,2015_2016,CORE_VOL,100,9,3,0.7721541819607504,0.7987442660922569,3,0.03504639413594382,0.02202411488015822,1.5912736710031203,0.915594595972567,0.9396951127302734
