cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,0,0,ALL,VOL,0.8461631214377121,6.962541654331744e-12,0.8462354939197128,0.8462354939266753
PROXY,0,0,DOTCOM,VOL,0.6277348462972441,4.883982107628526e-12,0.6273176278419275,0.6273176278468114
PROXY,0,0,GFC,VOL,0.6726608712415327,4.651834473179406e-12,0.6725347197582598,0.6725347197629117
PROXY,0,0,2011,VOL,0.7356049584559514,6.140199459991891e-12,0.7359363536575545,0.7359363536636947
PROXY,0,0,2015_2016,VOL,0.9050308887308347,3.6114444768031717e-12,0.9050044204785912,0.9050044204822026
PROXY,0,0,2018Q4,VOL,0.7238929974773782,5.8331117713805725e-12,0.7235959785623117,0.7235959785564786
PROXY,0,0,COVID,VOL,0.42528260079416214,1.1780576514297536e-12,0.4237049918689202,0.42370499187009825
PROXY,0,0,2022,VOL,0.6314042069207062,4.926725694076595e-12,0.6311953878531206,0.6311953878481938
PROXY,0,0,2023_PLUS,VOL,0.9052712504417286,3.4128255776977312e-12,0.9053685440996764,0.9053685440962636
PROXY,0,0,2024_PLUS,VOL,0.8987465834870818,7.1598282858076345e-12,0.8988556842799535,0.8988556842871134
PROXY,0,0,EX_MAJOR_SHOCKS,VOL,0.889471257578407,6.360134641170134e-12,0.8895639084504521,0.8895639084440919
PROXY,0,0,ALL,CORE_VOL,0.92307962851919,1.7505996652289468e-12,0.9231177504614115,0.9231177504631621
PROXY,0,0,DOTCOM,CORE_VOL,0.8139632371967309,1.3952172750464342e-12,0.8136822745510349,0.8136822745496397
PROXY,0,0,GFC,CORE_VOL,0.8362847152675386,3.9438452503759436e-12,0.8361927424436264,0.8361927424475702
PROXY,0,0,2011,CORE_VOL,0.8678888837384875,1.8448576000196226e-12,0.8680787558024884,0.8680787558006435
PROXY,0,0,2015_2016,CORE_VOL,0.9525374677104992,5.136113756520899e-12,0.9525231677250705,0.9525231677199344
PROXY,0,0,2018Q4,CORE_VOL,0.8619510614153114,2.6409985309783224e-12,0.8617677731775923,0.8617677731749513
PROXY,0,0,COVID,CORE_VOL,0.7124329181315261,6.355804771374096e-12,0.7110207474431635,0.7110207474495193
PROXY,0,0,2022,CORE_VOL,0.8157503910260857,5.447531314928256e-12,0.8156029301872272,0.8156029301926747
PROXY,0,0,2023_PLUS,CORE_VOL,0.9526696195316617,2.8307356458867616e-12,0.9527204702158298,0.9527204702186606
PROXY,0,0,2024_PLUS,CORE_VOL,0.9494096032358357,4.169442568979775e-12,0.9494668352810577,0.9494668352768882
PROXY,0,0,EX_MAJOR_SHOCKS,CORE_VOL,0.9447586700189277,6.203593194697987e-12,0.9448073882442832,0.9448073882504868
PROXY,0,1,ALL,VOL,0.8461631214377121,6.962097565121894e-12,0.846235493919713,0.8462354939266751
PROXY,0,1,DOTCOM,VOL,0.6277348462972441,4.883871085326064e-12,0.6273176278419275,0.6273176278468113
PROXY,0,1,GFC,VOL,0.6726608712415327,4.651723450876943e-12,0.67253471975826,0.6725347197629117
PROXY,0,1,2011,VOL,0.7356049584559514,6.140421504596816e-12,0.7359363536575545,0.7359363536636949
PROXY,0,1,2015_2016,VOL,0.9050308887308347,3.611333454500709e-12,0.9050044204785912,0.9050044204822025
PROXY,0,1,2018Q4,VOL,0.7238929974773782,5.8331117713805725e-12,0.7235959785623117,0.7235959785564786
PROXY,0,1,COVID,VOL,0.42528260079416214,1.1781131625809849e-12,0.4237049918689202,0.4237049918700983
PROXY,0,1,2022,VOL,0.6314042069207062,4.926725694076595e-12,0.6311953878531206,0.6311953878481938
PROXY,0,1,2023_PLUS,VOL,0.9052712504417286,3.4128255776977312e-12,0.9053685440996764,0.9053685440962636
PROXY,0,1,2024_PLUS,VOL,0.8987465834870818,7.1600503304125596e-12,0.8988556842799535,0.8988556842871136
PROXY,0,1,EX_MAJOR_SHOCKS,VOL,0.889471257578407,6.360245663472597e-12,0.8895639084504521,0.8895639084440918
PROXY,0,1,ALL,CORE_VOL,0.92307962851919,1.7505996652289468e-12,0.9231177504614115,0.9231177504631621
PROXY,0,1,DOTCOM,CORE_VOL,0.8139632371967309,1.3952172750464342e-12,0.8136822745510349,0.8136822745496397
PROXY,0,1,GFC,CORE_VOL,0.8362847152675386,3.943956272678406e-12,0.8361927424436264,0.8361927424475704
PROXY,0,1,2011,CORE_VOL,0.8678888837384875,1.8448576000196226e-12,0.8680787558024884,0.8680787558006435
PROXY,0,1,2015_2016,CORE_VOL,0.9525374677104992,5.136335801125824e-12,0.9525231677250705,0.9525231677199342
PROXY,0,1,2018Q4,CORE_VOL,0.8619510614153114,2.6409985309783224e-12,0.8617677731775925,0.8617677731749515
PROXY,0,1,COVID,CORE_VOL,0.7124329181315261,6.355804771374096e-12,0.7110207474431635,0.7110207474495193
PROXY,0,1,2022,CORE_VOL,0.8157503910260857,5.4473092703233306e-12,0.8156029301872273,0.8156029301926746
PROXY,0,1,2023_PLUS,CORE_VOL,0.9526696195316617,2.8307356458867616e-12,0.9527204702158298,0.9527204702186606
PROXY,0,1,2024_PLUS,CORE_VOL,0.9494096032358357,4.1696646135847004e-12,0.9494668352810579,0.9494668352768882
PROXY,0,1,EX_MAJOR_SHOCKS,CORE_VOL,0.9447586700189277,6.203593194697987e-12,0.9448073882442832,0.9448073882504868
PROXY,0,3,ALL,VOL,0.8461631214377121,6.962541654331744e-12,0.8462354939197128,0.8462354939266753
PROXY,0,3,DOTCOM,VOL,0.6277348462972441,4.883982107628526e-12,0.6273176278419275,0.6273176278468114
PROXY,0,3,GFC,VOL,0.6726608712415327,4.651834473179406e-12,0.6725347197582598,0.6725347197629117
PROXY,0,3,2011,VOL,0.7356049584559514,6.140199459991891e-12,0.7359363536575545,0.7359363536636947
PROXY,0,3,2015_2016,VOL,0.9050308887308347,3.6114444768031717e-12,0.9050044204785912,0.9050044204822026
PROXY,0,3,2018Q4,VOL,0.7238929974773782,5.8331117713805725e-12,0.7235959785623117,0.7235959785564786
PROXY,0,3,COVID,VOL,0.42528260079416214,1.1781131625809849e-12,0.4237049918689202,0.4237049918700983
PROXY,0,3,2022,VOL,0.6314042069207062,4.926614671774132e-12,0.6311953878531206,0.631195387848194
PROXY,0,3,2023_PLUS,VOL,0.9052712504417286,3.4129366000001937e-12,0.9053685440996764,0.9053685440962634
PROXY,0,3,2024_PLUS,VOL,0.8987465834870818,7.1598282858076345e-12,0.8988556842799535,0.8988556842871134
PROXY,0,3,EX_MAJOR_SHOCKS,VOL,0.889471257578407,6.360467708077522e-12,0.8895639084504524,0.8895639084440919
PROXY,0,3,ALL,CORE_VOL,0.92307962851919,1.7503776206240218e-12,0.9231177504614115,0.9231177504631619
