period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
ALL,HS,RISK,LOW,2503,0.013184178985217739,0.25001754512747704,0.11506192568917299,0.1914250034578507,0.011186576108669596,0.043885683798936426,0.013682004373692838,0.021441630938377403,,
ALL,HS,RISK,MID,2089,0.05505026328386788,0.058667019361383285,0.2106270943034945,0.18719103033181086,0.04451890856869316,0.04291537726375696,0.02181609812122457,0.02115587001955512,,
ALL,HS,RISK,HIGH,495,0.13333333333333333,-1.0200164550739237,0.2787878787878788,0.18240652211424946,0.1191919191919192,0.04120754823049309,0.03808212288029179,0.02065829296438125,,
ALL,HS,p2,0_0.01,0,,,,,,,,,,
ALL,HS,p2,0.01_0.05,0,,,,,,,,,,
ALL,HS,p2,0.05_0.1,0,,,,,,,,,,
ALL,HS,p2,0.1_0.2,3684,,,,,,,,,0.16693811074918566,0.18036095807615268
ALL,HS,p2,0.2_1.000001,1403,,,,,,,,,0.17890235210263722,0.21099095146982205
ALL,HS,p5,0_0.01,0,,,,,,,,,,
ALL,HS,p5,0.01_0.05,4081,,,,,,,,,0.03381524136241117,0.04030717806179104
ALL,HS,p5,0.05_0.1,1006,,,,,,,,,0.041749502982107355,0.05506981347579623
ALL,HS,p5,0.1_0.2,0,,,,,,,,,,
ALL,HS,p5,0.2_1.000001,0,,,,,,,,,,
ALL,FHS,RISK,LOW,2503,0.05793048341989612,-0.12807217815090347,0.11506192568917299,0.11152426436790577,0.011186576108669596,0.00782333007056569,0.013682004373692838,0.013451033876144642,,
ALL,FHS,RISK,MID,2089,0.04834849210148397,0.004292965551135993,0.2106270943034945,0.20382370325787744,0.04451890856869316,0.04723204550192727,0.02181609812122457,0.0220579407674107,,
ALL,FHS,RISK,HIGH,495,0.03636363636363636,0.09217883795047761,0.2787878787878788,0.2892730306129173,0.1191919191919192,0.13766597044888415,0.03808212288029179,0.03900044916649146,,
ALL,FHS,p2,0_0.01,0,,,,,,,,,,
ALL,FHS,p2,0.01_0.05,104,,,,,,,,,0.019230769230769232,0.03815595491101742
ALL,FHS,p2,0.05_0.1,776,,,,,,,,,0.09149484536082474,0.07934432033872982
ALL,FHS,p2,0.1_0.2,2655,,,,,,,,,0.14990583804143126,0.14764297061225942
ALL,FHS,p2,0.2_1.000001,1552,,,,,,,,,0.2545103092783505,0.25166984607140425
ALL,FHS,p5,0_0.01,1827,,,,,,,,,0.008210180623973728,0.004992857855544173
ALL,FHS,p5,0.01_0.05,1973,,,,,,,,,0.02838317283324886,0.025538304219708916
ALL,FHS,p5,0.05_0.1,812,,,,,,,,,0.05541871921182266,0.07049155854697182
ALL,FHS,p5,0.1_0.2,396,,,,,,,,,0.11868686868686869,0.12771711521873796
ALL,FHS,p5,0.2_1.000001,79,,,,,,,,,0.21518987341772153,0.24139297339270133
PRE2020,HS,RISK,LOW,2110,0.011848341232227487,0.25775071041784353,0.11516587677725118,0.19419154122707785,0.01042654028436019,0.0448875249568831,0.013546205728009195,0.021698398416268295,,
PRE2020,HS,RISK,MID,1120,0.05714285714285714,0.06993279229093928,0.2125,0.19625779768515683,0.05089285714285714,0.046511393552246386,0.022089385780891795,0.02208324495353413,,
PRE2020,HS,RISK,HIGH,190,0.17894736842105263,-1.6333917300104674,0.3105263157894737,0.193312889397568,0.16842105263157894,0.04534515044255902,0.044507154522527674,0.021800984641872276,,
PRE2020,HS,p2,0_0.01,0,,,,,,,,,,
