period,model,n,first,last,PINBALL,FZ0,BRIER2,BRIER5,DD_MSE,DD_MAE,var_hit_rate,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,auc2,auc5,actual_D,pred_D,fallback_fraction,max_impossible_mass,q_below_minus1,e_below_minus1
ALL,HS,5087,2006-06-01,2026-08-20,0.003489901099880015,-2.7076175947077163,0.14189619803271675,0.03424156631806752,0.0004142621096149226,0.014888222642491582,0.04206801651267938,0.04785554818919059,0.17023786121486142,0.18880874276876483,0.03538431295459013,0.04322662198286224,0.4838121063001281,0.4768912890881507,0.0193966063983361,0.021248057740707295,0.0,0.0,0,0
ALL,FHS,5087,2006-06-01,2026-08-20,0.00313845290075899,-2.8739174685639974,0.13680433693205765,0.032682120306457375,0.00033442038370242236,0.012993310923870753,0.05189699233339886,-0.0522838867878714,0.17023786121486142,0.16672362885236253,0.03538431295459013,0.03664128043883422,0.633556620285792,0.7581969069130268,0.0193966063983361,0.019471633259784602,0.0,0.0,0,0
PRE2020,HS,3420,2006-06-01,2019-12-31,0.003372374260784781,-2.7360386479891945,0.134094630091276,0.031566357221898225,0.000393133631960293,0.01468360859201947,0.035964912280701755,0.0911796191945945,0.15789473684210525,0.19481939601814263,0.03245614035087719,0.04544474181918874,0.5294978137860082,0.5278233809512142,0.01806402500584166,0.021830129265567266,0.0,0.0,0,0
PRE2020,FHS,3420,2006-06-01,2019-12-31,0.0029378796732319966,-2.940116910953056,0.12782050522936367,0.029326728699171748,0.000299051919029496,0.012161644607956493,0.05380116959064327,-0.07080390177858702,0.15789473684210525,0.15616001516059916,0.03245614035087719,0.030735924992879995,0.6440576774691358,0.7900661314079265,0.01806402500584166,0.01825264173707487,0.0,0.0,0,0
GFC,HS,756,2007-01-03,2009-12-31,0.004757191587296464,-2.3079801635250274,0.18069768168107694,0.0730682734238108,0.0007553802413055309,0.018321914629236945,0.07671957671957672,-0.3206957792998886,0.23412698412698413,0.203661884590948,0.07804232804232804,0.04898668837613132,0.4702487241786443,0.4394621015003769,0.026830831867800154,0.023040837989457823,0.0,0.0,0,0
GFC,FHS,756,2007-01-03,2009-12-31,0.004005341474777619,-2.56100320257285,0.1720224021368051,0.06628054536740907,0.0005166254387340852,0.0156448636472627,0.056878306878306875,-0.14645031778690934,0.23412698412698413,0.21360563192877888,0.07804232804232804,0.06274606768708747,0.6301532937170067,0.7300537412153782,0.026830831867800154,0.025131038902337276,0.0,0.0,0,0
2011,HS,252,2011-01-03,2011-12-30,0.003742534692535384,-2.608253690603837,0.17092859578338043,0.05255371177772763,0.0004254496422879081,0.015317684797297754,0.05555555555555555,0.024383918088836037,0.21825396825396826,0.2082393384675602,0.05555555555555555,0.052474680473567806,0.3992155053068759,0.3700480192076831,0.022849710161539544,0.023243647592188936,0.0,0.0,0,0
2011,FHS,252,2011-01-03,2011-12-30,0.003577643941671477,-2.6845528009382096,0.16902405989630062,0.0509585028855152,0.00039408884787812997,0.014787994801692813,0.07142857142857142,-0.1606209288659461,0.21825396825396826,0.18951435265512176,0.05555555555555555,0.04330450535880561,0.5803876326718966,0.7369447779111644,0.022849710161539544,0.020967854069403477,0.0,0.0,0,0
2015_2016,HS,504,2015-01-02,2016-12-30,0.0030358544732657874,-2.8245152795773847,0.1254798811072505,0.021728611197033922,0.00035976686784952377,0.01339797284667712,0.025793650793650792,0.15164988016563016,0.14484126984126985,0.18427657526466681,0.021825396825396824,0.04077824839759177,0.41273877252645963,0.29190484971418035,0.016287637028198316,0.020683330525840146,0.0,0.0,0,0
2015_2016,FHS,504,2015-01-02,2016-12-30,0.0028669127108266078,-2.909250779331145,0.12694364806300792,0.022267601147500912,0.00035630951266792744,0.012293309001027342,0.061507936507936505,-0.17549895548872368,0.14484126984126985,0.1391191451783951,0.021825396825396824,0.023909645609621322,0.5025267774846646,0.6811727825926609,0.016287637028198316,0.016696853024148313,0.0,0.0,0,0
2018Q4,HS,63,2018-10-01,2018-12-31,0.004901907924905621,-2.053846129982287,0.35204396511313385,0.11899987207179255,0.0009242054665850317,0.025237249705435623,0.20634920634920634,-0.6621460582167914,0.49206349206349204,0.1726853727674545,0.12698412698412698,0.03663076325694034,0.4576612903225806,0.6181818181818182,0.04133273672143319,0.0194898934242554,0.0,0.0,0,0
2018Q4,FHS,63,2018-10-01,2018-12-31,0.004477133093189998,-1.965490073326616,0.33708283274005085,0.11641859143685533,0.0007739247933163595,0.02403528254626986,0.14285714285714285,-0.5280926006580253,0.49206349206349204,0.23707582438379363,0.12698412698412698,0.0821356845272952,0.18800403225806453,0.39886363636363636,0.04133273672143319,0.027588223187135434,0.0,0.0,0,0
COVID,HS,93,2020-02-19,2020-06-30,0.009542263495850746,-0.9530533791439789,0.16382721153636465,0.11103647378127195,0.0018198800987177552,0.028217149884606347,0.11827956989247312,-1.7405950238542371,0.20430107526881722,0.17212494471423354,0.11827956989247312,0.03793073329412126,0.22724039829302986,0.09811529933481153,0.039488244552400756,0.019588956575774596,0.0,0.0,0,0
COVID,FHS,93,2020-02-19,2020-06-30,0.0076091516281055075,-1.544064816592146,0.16996627153296118,0.10926980310122023,0.0015232194011528986,0.02900214011902498,0.053763440860215055,-0.6579592423432161,0.20430107526881722,0.2656496540879133,0.11827956989247312,0.1268919946091087,0.5142247510668563,0.5277161862527716,0.039488244552400756,0.03872763063041155,0.0,0.0,0,0
2022,HS,251,2022-01-03,2022-12-30,0.005407806437860603,-2.0012971007235216,0.286530144738226,0.11913872646176002,0.0008701568273883585,0.02255444792018447,0.16733067729083664,-0.6825332301907125,0.3944223107569721,0.17671579917073982,0.12749003984063745,0.03931891616008855,0.46331738437001596,0.3967608447488584,0.03770250811140643,0.020085270105096854,0.0,0.0,0,0
2022,FHS,251,2022-01-03,2022-12-30,0.004717497320145558,-2.237404625536439,0.2684717830627134,0.11586500175850382,0.0006834475698766608,0.020298571170617247,0.09163346613545817,-0.18118198767812388,0.3944223107569721,0.24584279074157858,0.12749003984063745,0.08791060788726161,0.3607456140350877,0.4235159817351598,0.03770250811140643,0.028939015499755506,0.0,0.0,0,0
2023_PLUS,HS,911,2023-01-03,2026-08-20,0.002979546895807853,-2.897637150333284,0.1301577066355237,0.01774384465639811,0.00027174019611263375,0.012594245226360845,0.026344676180021953,0.20799902497075393,0.1525795828759605,0.17873342148698995,0.01756311745334797,0.039057114813953464,0.350081075036344,0.21449022346368715,0.017671712489592883,0.02024290704722916,0.0,0.0,0,0
2023_PLUS,FHS,911,2023-01-03,2026-08-20,0.0029532809043527164,-2.9548489348146423,0.13064432248106728,0.017923505916436544,0.0002662903288335146,0.012293860014201836,0.038419319429198684,0.09624373434329399,0.1525795828759605,0.17266146839696964,0.01756311745334797,0.03505539174547986,0.5446844596861371,0.6763617318435754,0.017671712489592883,0.019424001237951224,0.0,0.0,0,0
2024_PLUS,HS,661,2024-01-02,2026-08-20,0.0030853204655103485,-2.853089537208385,0.13801940774515398,0.023840322405995287,0.00031868417983912174,0.01336748168341924,0.03479576399394856,0.15885381649239924,0.1649016641452345,0.1780971622746904,0.024205748865355523,0.038585299884897,0.3299677569472145,0.2976259689922481,0.018360668294139112,0.02017226934312545,0.0,0.0,0,0
2024_PLUS,FHS,661,2024-01-02,2026-08-20,0.003053717180099719,-2.9143990062958105,0.13791706262726589,0.024166447958819597,0.0003132788381108612,0.013186791376327568,0.04084720121028744,0.060335774341832606,0.1649016641452345,0.1732942601124211,0.024205748865355523,0.036438710085280164,0.5668378540087754,0.6698158914728682,0.018360668294139112,0.019648276114075137,0.0,0.0,0,0
EX_MAJOR_SHOCKS,HS,3972,2006-06-01,2026-08-20,0.0029768314659712755,-2.8734837861776907,0.12427578693840845,0.01911229541391523,0.0002856854596425931,0.013398576976116077,0.024672708962739175,0.210328690935102,0.14224572004028196,0.1871691044911932,0.0188821752265861,0.04252300951914536,0.4777680517206896,0.46533743905568387,0.016316540930697825,0.02102267404165335,0.0,0.0,0,0
EX_MAJOR_SHOCKS,FHS,3972,2006-06-01,2026-08-20,0.002746540930514287,-3.0168796495566723,0.12034943430938383,0.018624978492810237,0.0002474081272560343,0.011614158742837924,0.047079556898288015,0.0008710804784618867,0.14224572004028196,0.15064192628888673,0.0188821752265861,0.026429999970417953,0.6052936302407069,0.728435548712685,0.016316540930697825,0.01736470955072019,0.0,0.0,0,0
NONOVERLAP5_0,HS,1017,2006-06-05,2026-08-14,0.0035702942363084497,-2.682936358798438,0.1404869853972232,0.03156595558297661,0.00040715067133914156,0.014803793356216914,0.04523107177974434,0.023193794564312423,0.168141592920354,0.18881444122489893,0.032448377581120944,0.04322806042176504,0.4917706994041447,0.4713907366346391,0.019344596357632287,0.02124863336717748,0.0,0.0,0,0
NONOVERLAP5_0,FHS,1017,2006-06-05,2026-08-14,0.003343538284497714,-2.8035997231662577,0.13540915289660216,0.031204278423910985,0.000335438348981934,0.012879277396196752,0.05309734513274336,-0.1257797811166772,0.168141592920354,0.16621684466447012,0.032448377581120944,0.03634826480730003,0.6370812768722437,0.697169869425967,0.019344596357632287,0.01939637242741534,0.0,0.0,0,0
NONOVERLAP5_1,HS,1017,2006-06-06,2026-08-17,0.00355985205394676,-2.6864198090072637,0.1449871503236141,0.03781240665954992,0.0004144639511231966,0.014965806078882343,0.04228121927236971,0.0266185832684445,0.1750245821042281,0.1888117218504988,0.03933136676499508,0.04322304085835941,0.47916861967832225,0.5042476970317298,0.019353470238408863,0.021247493604818566,0.0,0.0,0,0
NONOVERLAP5_1,FHS,1017,2006-06-06,2026-08-17,0.003264352739029498,-2.8259698165434166,0.13992823140674185,0.035951035989409075,0.0003383366916451345,0.013000442526734206,0.05703048180924287,-0.10255701507145602,0.1750245821042281,0.16635233729605758,0.03933136676499508,0.036424185282267624,0.6307067000575859,0.7763433981576254,0.019353470238408863,0.01942224266053013,0.0,0.0,0,0
NONOVERLAP5_2,HS,1017,2006-06-07,2026-08-18,0.0034569748232496336,-2.7183316140507716,0.1422911407463831,0.03431207848074995,0.0004202611590498715,0.01489467794559588,0.04228121927236971,0.058537948708036025,0.1710914454277286,0.18879647573725958,0.035398230088495575,0.043223617117315295,0.4890784145293901,0.4553460188016763,0.019395550782673646,0.021246786456644594,0.0,0.0,0,0
NONOVERLAP5_2,FHS,1017,2006-06-07,2026-08-18,0.0030432974565542197,-2.9073600967418494,0.1378013671349131,0.03270879467437869,0.00033942621500091327,0.01308905035728086,0.051130776794493606,-0.016768274700644497,0.1710914454277286,0.16707943355496865,0.035398230088495575,0.03680728111829745,0.6299341432486604,0.7828179861819006,0.019395550782673646,0.019518239036338165,0.0,0.0,0,0
NONOVERLAP5_3,HS,1018,2006-06-01,2026-08-19,0.0034008302372247764,-2.7339191914946834,0.14489906017932241,0.028883386786163184,0.0004169460002886104,0.014932750900748436,0.03831041257367387,0.07415750217035684,0.17485265225933203,0.18881196118277185,0.029469548133595286,0.043228078117418633,0.472304708400214,0.42186234817813767,0.01942757001323428,0.021248625753526804,0.0,0.0,0,0
NONOVERLAP5_3,FHS,1018,2006-06-01,2026-08-19,0.00297934866993559,-2.9316517424030932,0.13986414186374344,0.027461606987903644,0.0003303052641120332,0.01298818742525146,0.0481335952848723,0.006791367781862855,0.17485265225933203,0.1669021262375251,0.029469548133595286,0.03662854560392011,0.6317181647940074,0.7592948717948718,0.01942757001323428,0.019498743471696035,0.0,0.0,0,0
NONOVERLAP5_4,HS,1018,2006-06-02,2026-08-20,0.0034616694903343696,-2.7164464569631925,0.13681869348007544,0.038634952746682896,0.00041248787182651144,0.014844084547373106,0.04223968565815324,0.056735318602163805,0.16208251473477406,0.18880911032236986,0.04027504911591356,0.0432303083429193,0.487353014316672,0.5145043313278578,0.019461750098929562,0.021248748283850868,0.0,0.0,0,0
NONOVERLAP5_4,FHS,1018,2006-06-02,2026-08-20,0.0030619590136775413,-2.9009226410093367,0.1310214689031228,0.03608667106392253,0.0003286051631183843,0.013009585948771238,0.05009823182711198,-0.023192423770089628,0.16208251473477406,0.16706688947240464,0.04027504911591356,0.036997787356738865,0.639319336388504,0.7670819082807,0.019461750098929562,0.019522492037270384,0.0,0.0,0,0
