period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
ALL,21,FHS|HS|PINBALL,FHS_VALUE,0.00035144819912102433,1.0,0.00013157829641783223,0.0006032378028732992,6.603307369293219e-05,0.0006368633245491164,FHS,HS,PINBALL,5087,0.10070434349360426
ALL,21,FHS|HS|FZ0,FHS_VALUE,0.16629987385628117,1.0,0.07328044528571151,0.2639950981256824,0.05200200692558865,0.2805977407869737,FHS,HS,FZ0,5087,
ALL,21,FHS|HS|BRIER2,FHS_VALUE,0.00509186110065911,1.0,0.0024505101508231113,0.007707869742651022,0.0019076345669948708,0.008276087634323349,FHS,HS,BRIER2,5087,0.035884408259374875
ALL,21,FHS|HS|BRIER5,FHS_VALUE,0.001559446011610145,1.0,0.00012689644760770097,0.003309891064118455,-0.00037726472486757697,0.003496156748087867,FHS,HS,BRIER5,5087,0.04554248474279942
ALL,21,FHS|HS|DD_MSE,FHS_VALUE,7.984172591250019e-05,1.0,3.900274896530394e-05,0.0001342944542269831,2.288218237390501e-05,0.00013680126945109537,FHS,HS,DD_MSE,5087,0.19273238864813652
PRE2020,21,FHS|HS|PINBALL,FHS_VALUE,0.0004344945875527839,1.0,0.0001661443918526636,0.0007731844799445746,7.371722007237092e-05,0.0007952719550331968,FHS,HS,PINBALL,3420,0.12883937367368983
PRE2020,21,FHS|HS|FZ0,FHS_VALUE,0.2040782629638608,1.0,0.07825539527355167,0.3372820544622327,0.05113827165804713,0.3570182542696745,FHS,HS,FZ0,3420,
PRE2020,21,FHS|HS|BRIER2,FHS_VALUE,0.006274124861912329,1.0,0.002848198268485189,0.009897772928799418,0.002014224490136507,0.010534025233688151,FHS,HS,BRIER2,3420,0.04678878533496559
PRE2020,21,FHS|HS|BRIER5,FHS_VALUE,0.0022396285227264793,1.0,0.0004461398753660412,0.004768217453944191,-0.0004039928796133285,0.004883249925066287,FHS,HS,BRIER5,3420,0.07094985674092295
PRE2020,21,FHS|HS|DD_MSE,FHS_VALUE,9.408171293079702e-05,1.0,4.084301249498137e-05,0.00016812170574795045,1.581839115418023e-05,0.00017234503470741383,FHS,HS,DD_MSE,3420,0.23931229811521024
GFC,21,FHS|HS|PINBALL,FHS_VALUE,0.0007518501125188443,1.0,-0.0002957054012684922,0.002151833470035477,-0.0006792761871113633,0.002182976412149052,FHS,HS,PINBALL,756,0.15804495125371323
GFC,21,FHS|HS|FZ0,FHS_VALUE,0.2530230390478219,1.0,-0.15468273381036007,0.762502615975241,-0.2864366586817068,0.7924827367773506,FHS,HS,FZ0,756,
GFC,21,FHS|HS|BRIER2,FHS_VALUE,0.008675279544271835,1.0,-0.0014791777626650506,0.02057501716860762,-0.004191199846535428,0.0215417589350791,FHS,HS,BRIER2,756,0.04800991060628716
GFC,21,FHS|HS|BRIER5,FHS_VALUE,0.0067877280564017425,1.0,-0.0010065579956356982,0.017857712531068746,-0.0042716572625031615,0.017847113375306645,FHS,HS,BRIER5,756,0.09289569519497932
GFC,21,FHS|HS|DD_MSE,FHS_VALUE,0.00023875480257144578,1.0,2.1684367734466245e-05,0.0005535091728365856,-8.455885643523508e-05,0.0005620684615781266,FHS,HS,DD_MSE,756,0.316072342796263
2011,21,FHS|HS|PINBALL,FHS_VALUE,0.0001648907508639073,1.0,-0.00023641872089241018,0.0005470209090146901,-0.00033157294415261506,0.0006613544458804296,FHS,HS,PINBALL,252,0.04405857644894719
2011,21,FHS|HS|FZ0,FHS_VALUE,0.07629911033437314,1.0,-0.15898637833458762,0.27818845680656384,-0.19797906655983782,0.3505772872285841,FHS,HS,FZ0,252,
2011,21,FHS|HS|BRIER2,FHS_VALUE,0.0019045358870798024,1.0,-0.007573022244750417,0.011362492582217101,-0.010553467025592126,0.014362538799751731,FHS,HS,BRIER2,252,0.011142289435838108
2011,21,FHS|HS|BRIER5,FHS_VALUE,0.0015952088922124264,1.0,-0.00024014183061102292,0.003154701630045899,-0.0005405304852146773,0.00373094826963953,FHS,HS,BRIER5,252,0.03035387679102962
2011,21,FHS|HS|DD_MSE,FHS_VALUE,3.136079440977804e-05,1.0,-2.6892082969732124e-05,9.03727779477624e-05,-4.013960302205334e-05,0.00010286119184160943,FHS,HS,DD_MSE,252,0.0737121184099051
2015_2016,21,FHS|HS|PINBALL,FHS_VALUE,0.0001689417624391797,1.0,-0.0003238403930856951,0.0005702753694191962,-0.00037074724166325136,0.0007086307665416108,FHS,HS,PINBALL,504,0.055648834266236236
2015_2016,21,FHS|HS|FZ0,FHS_VALUE,0.0847354997537606,1.0,-0.22930513149097317,0.33794877004018664,-0.2698730004865339,0.4393439999940551,FHS,HS,FZ0,504,
2015_2016,21,FHS|HS|BRIER2,FHS_VALUE,-0.0014637669557574391,1.0,-0.008786833623860164,0.006215005591471891,-0.010468049655956024,0.007540515744441146,FHS,HS,BRIER2,504,-0.011665351790589635
2015_2016,21,FHS|HS|BRIER5,FHS_VALUE,-0.000538989950466992,1.0,-0.0035333596492884184,0.0016089243656432627,-0.003692771146843034,0.0026147912459090496,FHS,HS,BRIER5,504,-0.024805540748990294
2015_2016,21,FHS|HS|DD_MSE,FHS_VALUE,3.4573551815964265e-06,1.0,-6.883985590229553e-05,5.9635844557587426e-05,-7.455640923207171e-05,8.147111959526458e-05,FHS,HS,DD_MSE,504,0.009609987718609212
2018Q4,21,FHS|HS|PINBALL,FHS_VALUE,0.00042477483171562454,0.9819909954977488,-0.0031186576793965333,0.0032308457183565756,-0.003499278252593341,0.00434882791602459,FHS,HS,PINBALL,63,0.08665500009851833
2018Q4,21,FHS|HS|FZ0,FHS_VALUE,-0.0883560566556721,0.9819909954977488,-2.1000881450379834,1.101932674700686,-2.121390747639921,1.9446786343285767,FHS,HS,FZ0,63,
2018Q4,21,FHS|HS|BRIER2,FHS_VALUE,0.014961132373082987,0.9819909954977488,-0.04031302141786477,0.03474235532091674,-0.027542312143969395,0.05746457689013537,FHS,HS,BRIER2,63,0.04249790894235338
2018Q4,21,FHS|HS|BRIER5,FHS_VALUE,0.002581280634937229,0.9819909954977488,-0.007434635652117138,0.013141332888975319,-0.0095632913645406,0.01472585263441506,FHS,HS,BRIER5,63,0.021691457225936718
2018Q4,21,FHS|HS|DD_MSE,FHS_VALUE,0.0001502806732686723,0.9819909954977488,-0.0001346897757229301,0.00035602838563282964,-0.00013897026764212583,0.0004395316141794704,FHS,HS,DD_MSE,63,0.1626052633338819
COVID,21,FHS|HS|PINBALL,FHS_VALUE,0.001933111867745237,0.9984992496248124,-0.003287513695944239,0.009419265280368717,-0.005832220436986596,0.00969844417247707,FHS,HS,PINBALL,93,0.20258420537074992
COVID,21,FHS|HS|FZ0,FHS_VALUE,0.5910114374481669,0.9984992496248124,-1.1206557607838732,2.885854757285296,-1.9382412943919105,3.1202641692882445,FHS,HS,FZ0,93,
COVID,21,FHS|HS|BRIER2,FHS_VALUE,-0.006139059996596565,0.9984992496248124,-0.04662316056539358,0.04224906043795106,-0.05595461139960755,0.04367649140641442,FHS,HS,BRIER2,93,-0.03747277353392467
COVID,21,FHS|HS|BRIER5,FHS_VALUE,0.001766670680051751,0.9984992496248124,-0.0313501163560089,0.043919162083484106,-0.04037678993211686,0.04391013129222036,FHS,HS,BRIER5,93,0.015910723926012556
COVID,21,FHS|HS|DD_MSE,FHS_VALUE,0.0002966606975648566,0.9984992496248124,-0.0004793015805825165,0.0014363272563511647,-0.0008333926263025667,0.00142671402143228,FHS,HS,DD_MSE,93,0.16301112242167864
2022,21,FHS|HS|PINBALL,FHS_VALUE,0.0006903091177150456,1.0,-0.00016257525390947432,0.0017678883276572295,-0.0004843217342846022,0.0018649399697146934,FHS,HS,PINBALL,251,0.1276504855799056
2022,21,FHS|HS|FZ0,FHS_VALUE,0.2361075248129174,1.0,-0.06287504259673382,0.626052518429996,-0.18824479151784745,0.6604598411436823,FHS,HS,FZ0,251,
2022,21,FHS|HS|BRIER2,FHS_VALUE,0.01805836167551268,1.0,0.005851353173925651,0.030968471778697052,0.0024317633604164918,0.033684959990608866,FHS,HS,BRIER2,251,0.0630242995619564
