period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
ALL,HS,RISK,LOW,3189,0.012856694888679836,0.2873776586696397,0.07745374725619317,0.15773197759575866,0.004076513013483851,0.026364189942374824,0.010307227090369705,0.018291015002690116,,
ALL,HS,RISK,MID,2190,0.043835616438356165,0.09962655365114004,0.16757990867579908,0.15794799646301638,0.02054794520547945,0.0265490281235121,0.016935034898100228,0.018319463544822015,,
ALL,HS,RISK,HIGH,1237,0.12530315278900567,-0.9243983667430147,0.2433306386418755,0.1603918702831017,0.08245755860953921,0.026393523558202653,0.030787983463422892,0.018564982190474567,,
ALL,HS,p2,0_0.01,0,,,,,,,,,,
ALL,HS,p2,0.01_0.05,0,,,,,,,,,,
ALL,HS,p2,0.05_0.1,0,,,,,,,,,,
ALL,HS,p2,0.1_0.2,6616,,,,,,,,,0.13830108827085852,0.1583008059774905
ALL,HS,p2,0.2_1.000001,0,,,,,,,,,,
ALL,HS,p5,0_0.01,0,,,,,,,,,,
ALL,HS,p5,0.01_0.05,6616,,,,,,,,,0.02418379685610641,0.026430858820771085
ALL,HS,p5,0.05_0.1,0,,,,,,,,,,
ALL,HS,p5,0.1_0.2,0,,,,,,,,,,
ALL,HS,p5,0.2_1.000001,0,,,,,,,,,,
ALL,FHS,RISK,LOW,3189,0.05205393540294763,-0.0762431500592712,0.07745374725619317,0.076346629197182,0.004076513013483851,0.003755756359362082,0.010307227090369705,0.011206038825344504,,
ALL,FHS,RISK,MID,2190,0.047488584474885846,-0.007277283668852553,0.16757990867579908,0.16471880451263413,0.02054794520547945,0.0217867648659205,0.016935034898100228,0.01767696790832838,,
ALL,FHS,RISK,HIGH,1237,0.0444624090541633,0.03446863724580276,0.2433306386418755,0.2528518371117665,0.08245755860953921,0.09337118396147204,0.030787983463422892,0.03136912179078035,,
ALL,FHS,p2,0_0.01,13,,,,,,,,,0.0,0.007617281304787808
ALL,FHS,p2,0.01_0.05,711,,,,,,,,,0.057665260196905765,0.036381904556105175
ALL,FHS,p2,0.05_0.1,1759,,,,,,,,,0.07220011370096646,0.07571500940538443
ALL,FHS,p2,0.1_0.2,2707,,,,,,,,,0.14961211673439231,0.14939816467934988
ALL,FHS,p2,0.2_1.000001,1426,,,,,,,,,0.23983169705469845,0.24783395005071043
ALL,FHS,p5,0_0.01,3257,,,,,,,,,0.004912496162112374,0.003722332289522217
ALL,FHS,p5,0.01_0.05,2309,,,,,,,,,0.02252057167605024,0.024067877547884288
ALL,FHS,p5,0.05_0.1,669,,,,,,,,,0.04932735426008968,0.06911442582276268
ALL,FHS,p5,0.1_0.2,299,,,,,,,,,0.13712374581939799,0.14036212054046046
ALL,FHS,p5,0.2_1.000001,82,,,,,,,,,0.21951219512195122,0.23522056347131573
PRE2020,HS,RISK,LOW,2607,0.012658227848101266,0.2845254135276564,0.079018028385117,0.1606866205570335,0.004219409282700422,0.02675766799485985,0.010233076970297324,0.018592102629536356,,
PRE2020,HS,RISK,MID,1446,0.04564315352697095,0.13030037058606206,0.17565698478561548,0.1648501418530862,0.017289073305670817,0.027508056931163743,0.017247120601267384,0.019023150224978316,,
PRE2020,HS,RISK,HIGH,896,0.13616071428571427,-0.982804496821914,0.2622767857142857,0.16624902261559832,0.09263392857142858,0.02696925045704418,0.032311298600203535,0.019167344436824052,,
PRE2020,HS,p2,0_0.01,0,,,,,,,,,,
PRE2020,HS,p2,0.01_0.05,0,,,,,,,,,,
PRE2020,HS,p2,0.05_0.1,0,,,,,,,,,,
PRE2020,HS,p2,0.1_0.2,4949,,,,,,,,,0.14043241058799757,0.16291017360584464
