period,model,n,first,last,PINBALL,FZ0,BRIER2,BRIER5,DD_MSE,DD_MAE,var_hit_rate,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,auc2,auc5,actual_D,pred_D,fallback_fraction,max_impossible_mass,q_below_minus1,e_below_minus1
ALL,HS,6616,2000-05-01,2026-08-20,0.0030220804669822904,-2.8321514392160805,0.11943205427114088,0.023645638498318165,0.0003310110128837747,0.012905204573623883,0.044135429262394194,-0.001337858776848761,0.13830108827085852,0.1583008059774905,0.02418379685610641,0.026430858820771085,0.5205266452151526,0.43966610517348204,0.016330442739160008,0.018351655830767238,0.0,0.0,0,0
ALL,FHS,6616,2000-05-01,2026-08-20,0.0026329262374897183,-3.0563279151074894,0.11412555781659114,0.022241627058515234,0.00025039211611358413,0.010875440840826854,0.049123337363966145,-0.03271447286891548,0.13830108827085852,0.13860055999089138,0.02418379685610641,0.02647978788493236,0.6660731556059094,0.8186285044919455,0.016330442739160008,0.017117929442028123,0.0,0.0,0,0
PRE2020,HS,4949,2000-05-01,2019-12-31,0.0029668344611354343,-2.8431447812549435,0.1210063097473809,0.023523705859509275,0.0003251097958179005,0.012994392258602811,0.044655485956758945,0.010018035922734163,0.14043241058799757,0.16291017360584464,0.024045261669024046,0.02701522311468458,0.5321376749094378,0.4438584129303895,0.01627963055097598,0.01882219183590913,0.0,0.0,0,0
PRE2020,FHS,4949,2000-05-01,2019-12-31,0.00253033287703052,-3.0898072430095107,0.11471542720854126,0.021767295396840077,0.0002321909378177341,0.010557016165763293,0.04809052333804809,-0.02624094453294509,0.14043241058799757,0.1378026910226052,0.024045261669024046,0.02613739749683615,0.6768769469614717,0.8439010386763401,0.01627963055097598,0.01712267783793471,0.0,0.0,0,0
GFC,HS,756,2007-01-03,2009-12-31,0.004729411977090485,-2.193890682276551,0.1833706788712627,0.05968298548687968,0.0007833384375007549,0.017555285105941707,0.10185185185185185,-0.6637488089494678,0.23148148148148148,0.157281209130588,0.062169312169312166,0.02563383126574159,0.5187902630931891,0.48589562764456984,0.026016957866774233,0.018349515207662842,0.0,0.0,0,0
GFC,FHS,756,2007-01-03,2009-12-31,0.003565441390002244,-2.6749433664398587,0.1710254245336554,0.05058767701979246,0.00048080326389075546,0.014775989258454953,0.05026455026455026,-0.08914425970213719,0.23148148148148148,0.19976941932065082,0.062169312169312166,0.06037707010276034,0.6269486107696091,0.8470725925036762,0.026016957866774233,0.024786904268076212,0.0,0.0,0,0
2011,HS,252,2011-01-03,2011-12-30,0.0038072848713255,-2.5676424562491005,0.15750196226091998,0.0456656632785676,0.0004472030417442869,0.014885335196797026,0.0873015873015873,-0.20350466639782483,0.19444444444444445,0.16741467033705865,0.047619047619047616,0.03062004955050677,0.41414496833216047,0.36440972222222223,0.022058666701568346,0.019331158856097607,0.0,0.0,0,0
2011,FHS,252,2011-01-03,2011-12-30,0.0036267667079802985,-2.6556074232893905,0.15173464992737484,0.045830386435390134,0.00038022799528821335,0.014306714832755793,0.05952380952380952,-0.22332240879775114,0.19444444444444445,0.18300732279977694,0.047619047619047616,0.04467854907021117,0.6216447170001005,0.6598958333333333,0.022058666701568346,0.02116994420995949,0.0,0.0,0,0
2015_2016,HS,504,2015-01-02,2016-12-30,0.002400168485806308,-3.0433212906324045,0.0882341760357891,0.008204178368806112,0.00021072831257610457,0.011471941817068548,0.023809523809523808,0.216906052114829,0.09325396825396826,0.1540396749962182,0.007936507936507936,0.02612877599464956,0.48163322314819124,0.45125,0.012576569780193628,0.01792523668519942,0.0,0.0,0,0
2015_2016,FHS,504,2015-01-02,2016-12-30,0.0022599572383704197,-3.132218186032061,0.08524375873160625,0.008718375653096452,0.00018362611322924046,0.009298706680243773,0.04365079365079365,-0.10396278264779853,0.09325396825396826,0.11238629463684258,0.007936507936507936,0.014910786452547037,0.580473951301271,0.49625,0.012576569780193628,0.014205418727863836,0.0,0.0,0,0
