period,model,n,hits,n00,n01,n10,n11,LRuc,LRind,LRcc,p_uc,p_ind,p_cc
NONOVERLAP5_0,HS,1323,56,1220,46,46,10,1.725550664030493,15.84867401850098,17.574224682531472,0.188980117708284,6.861459855131366e-05,0.00015268824323578736
NONOVERLAP5_0,FHS,1323,59,1207,56,56,3,0.8428794825981072,0.05379127804613404,0.8966707606442412,0.35857453388551974,0.8165927964663074,0.6386904439011514
NONOVERLAP5_1,HS,1324,54,1223,46,46,8,2.518739882915952,10.410209583752149,12.9289494666681,0.11250045176589596,0.0012532052041496864,0.0015578093096655257
NONOVERLAP5_1,FHS,1324,63,1201,59,59,4,0.1653714981326857,0.33580975889651654,0.5011812570292022,0.6842584972782464,0.5622579526661147,0.7783409369342176
NONOVERLAP5_2,HS,1323,58,1213,51,51,7,1.1008364468779632,6.008500064792408,7.109336511670371,0.2940826124550928,0.01423712458075163,0.028590858193556046
NONOVERLAP5_2,FHS,1323,67,1191,64,64,3,0.011450642676322786,0.05303638724556592,0.0644870299218887,0.9147828903289722,0.8178615330756374,0.968270764950353
NONOVERLAP5_3,HS,1323,62,1208,52,52,10,0.2796651670432766,12.336536519890558,12.616201686933834,0.5969207620943568,0.00044417835310958865,0.0018214892496275015
NONOVERLAP5_3,FHS,1323,74,1177,71,71,3,0.9458817058293789,0.38697342692341863,1.3328551327527975,0.33076979370390036,0.5338946027156137,0.5135398918917097
NONOVERLAP5_4,HS,1323,62,1210,50,50,12,0.2796651670432766,18.858696821977247,19.138361989020524,0.5969207620943568,1.4076782756090294e-05,6.984856653561923e-05
NONOVERLAP5_4,FHS,1323,62,1203,57,57,5,0.2796651670432766,1.3897195774278543,1.669384744471131,0.5969207620943568,0.23845246198733647,0.4340079738016861
