period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
ALL,21,FHS|HS|PINBALL,FHS_VALUE,0.00038915422949257285,1.0,0.00018038045736625655,0.0006287945659358823,0.00013193733239587585,0.0006463711265892699,FHS,HS,PINBALL,6616,0.12877030699356734
ALL,21,FHS|HS|FZ0,FHS_VALUE,0.22417647589140885,1.0,0.1181310207748968,0.33692558126703015,0.09580993278793773,0.35254301899487994,FHS,HS,FZ0,6616,
ALL,21,FHS|HS|BRIER2,FHS_VALUE,0.005306496454549714,1.0,0.002962496287003163,0.0077243125426186806,0.002500952567648955,0.008112040341450473,FHS,HS,BRIER2,6616,0.044431090856920444
ALL,21,FHS|HS|BRIER5,FHS_VALUE,0.001404011439802929,1.0,8.40902128762566e-05,0.002901240312042404,-0.0002624666370909035,0.003070489516696762,FHS,HS,BRIER5,6616,0.059377184502875296
ALL,21,FHS|HS|DD_MSE,FHS_VALUE,8.061889677019056e-05,1.0,4.4204444376447544e-05,0.00012415857184186696,3.260610127720289e-05,0.00012863169226317821,FHS,HS,DD_MSE,6616,0.24355351825861354
PRE2020,21,FHS|HS|PINBALL,FHS_VALUE,0.00043650158410491456,1.0,0.00020102171352727046,0.000708679517998755,0.00014633132096724663,0.0007266718472425824,FHS,HS,PINBALL,4949,0.14712704393283252
PRE2020,21,FHS|HS|FZ0,FHS_VALUE,0.24666246175456744,1.0,0.1227348181188888,0.3801267258228144,0.09524346277610943,0.3980814607330254,FHS,HS,FZ0,4949,
PRE2020,21,FHS|HS|BRIER2,FHS_VALUE,0.006290882538839626,1.0,0.0033970423916819086,0.009109141228761048,0.0029097291903271132,0.009672035887352139,FHS,HS,BRIER2,4949,0.051988053779780566
PRE2020,21,FHS|HS|BRIER5,FHS_VALUE,0.0017564104626692026,1.0,0.0002224280357472547,0.003653784910035418,-0.00024416311903152003,0.003756984044369925,FHS,HS,BRIER5,4949,0.0746655511320801
PRE2020,21,FHS|HS|DD_MSE,FHS_VALUE,9.291885800016639e-05,1.0,4.989307038249276e-05,0.00015050948883310014,3.4084034785552024e-05,0.00015175368121478076,FHS,HS,DD_MSE,4949,0.28580762313360697
GFC,21,FHS|HS|PINBALL,FHS_VALUE,0.0011639705870882412,1.0,-0.00012710595907217608,0.0027413427946611463,-0.0004923068491339464,0.0028202480233104287,FHS,HS,PINBALL,756,0.24611317278481434
GFC,21,FHS|HS|FZ0,FHS_VALUE,0.4810526841633071,1.0,-0.13069332249549187,1.278855413534175,-0.31685926192693886,1.2789646302535531,FHS,HS,FZ0,756,
GFC,21,FHS|HS|BRIER2,FHS_VALUE,0.01234525433760733,1.0,-0.000669297097800574,0.027172188061678773,-0.00371635773990049,0.028406866415115146,FHS,HS,BRIER2,756,0.06732403682856208
GFC,21,FHS|HS|BRIER5,FHS_VALUE,0.00909530846708722,1.0,-0.0006207233930372575,0.02106765042897133,-0.0031056584621407327,0.02129627539631517,FHS,HS,BRIER5,756,0.1523936578053166
GFC,21,FHS|HS|DD_MSE,FHS_VALUE,0.00030253517360999936,1.0,3.723929822930997e-05,0.0006638228210536003,-5.977015577369267e-05,0.0006648405029936914,FHS,HS,DD_MSE,756,0.3862125987015769
2011,21,FHS|HS|PINBALL,FHS_VALUE,0.00018051816334520144,1.0,-0.0002547821446114832,0.0006643131778873262,-0.00040761154419942456,0.0007686478708898275,FHS,HS,PINBALL,252,0.047413884026585675
2011,21,FHS|HS|FZ0,FHS_VALUE,0.08796496704028985,1.0,-0.16631258561185117,0.3283136254942336,-0.22151965135220103,0.3974495854327807,FHS,HS,FZ0,252,
2011,21,FHS|HS|BRIER2,FHS_VALUE,0.005767312333545147,1.0,-0.0031926767751288875,0.015255319250520392,-0.0059196801520593955,0.01745430481914969,FHS,HS,BRIER2,252,0.036617399877157945
2011,21,FHS|HS|BRIER5,FHS_VALUE,-0.00016472315682253472,1.0,-0.0022063856365400784,0.002073501262172711,-0.002874093228491192,0.0025446469148461223,FHS,HS,BRIER5,252,-0.0036071556832033293
2011,21,FHS|HS|DD_MSE,FHS_VALUE,6.697504645607354e-05,1.0,-2.3907940820602146e-05,0.00018405988998299654,-6.691755043908835e-05,0.00020086764335123543,FHS,HS,DD_MSE,252,0.14976429094677363
2015_2016,21,FHS|HS|PINBALL,FHS_VALUE,0.00014021124743588778,1.0,-0.00021558249279013354,0.00044800123413723755,-0.0002604411618107071,0.0005408636566824827,FHS,HS,PINBALL,504,0.05841725206586299
2015_2016,21,FHS|HS|FZ0,FHS_VALUE,0.08889689539965688,1.0,-0.2424195217936307,0.34112222953543775,-0.26154310704332495,0.43933689784263874,FHS,HS,FZ0,504,
